id,model_type,model_id,uuid,collection_name,name,file_name,mime_type,disk,conversions_disk,size,manipulations,custom_properties,generated_conversions,responsive_images,order_column,created_at,updated_at
4760,"App\Models\Game",230,964f6409-3e9e-4aec-b592-971465d8b2df,la-cuisine-de-mamie-citrouille,"bonbons de mamie",bonbons-de-mamie.png,image/png,media,media,200662,[],[],"{""thumb"":true}",[],25,"2025-07-21 14:17:11","2025-07-21 14:17:11"
4761,"App\Models\Game",230,5b1961ec-6dda-40d6-b1d5-bd82df8bc14c,la-cuisine-de-mamie-citrouille,"bonus vide",bonus-vide.png,image/png,media,media,324758,[],[],"{""thumb"":true}",[],26,"2025-07-21 14:18:10","2025-07-21 14:18:11"
4762,"App\Models\Game",230,19dc078c-5a31-4b11-ab23-87834d923cc4,la-cuisine-de-mamie-citrouille,"bonus 1",bonus-1.png,image/png,media,media,360917,[],[],"{""thumb"":true}",[],27,"2025-07-21 14:18:11","2025-07-21 14:18:11"
4763,"App\Models\Game",230,7eb76dee-a6eb-4cea-90ef-4d70a354eb98,la-cuisine-de-mamie-citrouille,"bonus 2",bonus-2.png,image/png,media,media,387504,[],[],"{""thumb"":true}",[],28,"2025-07-21 14:21:17","2025-07-21 14:21:18"
4764,"App\Models\Game",230,b64f09ac-b880-4267-9bbc-5bf9cecb82f5,la-cuisine-de-mamie-citrouille,"bonus 3",bonus-3.png,image/png,media,media,416568,[],[],"{""thumb"":true}",[],29,"2025-07-21 14:21:18","2025-07-21 14:21:18"
4765,"App\Models\Game",230,00dc8caf-c624-4024-86ae-433c4e029a25,la-cuisine-de-mamie-citrouille,"bonus 4",bonus-4.png,image/png,media,media,448653,[],[],"{""thumb"":true}",[],30,"2025-07-21 14:21:18","2025-07-21 14:21:18"
4766,"App\Models\Game",230,a65d0569-2f29-4434-bea4-4fedf0633575,la-cuisine-de-mamie-citrouille,"bonus 5",bonus-5.png,image/png,media,media,501910,[],[],"{""thumb"":true}",[],31,"2025-07-21 14:21:18","2025-07-21 14:21:18"
4767,"App\Models\Game",230,96d3f4d4-f76f-48c6-9e52-6635b2f285a0,la-cuisine-de-mamie-citrouille,"bonus 6",bonus-6.png,image/png,media,media,533036,[],[],"{""thumb"":true}",[],32,"2025-07-21 14:21:18","2025-07-21 14:21:18"
4768,"App\Models\Game",230,3468ecbc-76a0-41e6-9b32-039321a54b7f,la-cuisine-de-mamie-citrouille,"bonus 7",bonus-7.png,image/png,media,media,562106,[],[],"{""thumb"":true}",[],33,"2025-07-21 14:21:18","2025-07-21 14:21:18"
4769,"App\Models\Game",230,05625468-9297-4c06-b391-1967e0977987,la-cuisine-de-mamie-citrouille,"bonus 8",bonus-8.png,image/png,media,media,578571,[],[],"{""thumb"":true}",[],34,"2025-07-21 14:21:18","2025-07-21 14:21:18"
4770,"App\Models\Game",230,47116e00-deb5-4b4b-b529-db595246e02a,la-cuisine-de-mamie-citrouille,"bonus 9",bonus-9.png,image/png,media,media,611990,[],[],"{""thumb"":true}",[],35,"2025-07-21 14:21:18","2025-07-21 14:21:19"
4771,"App\Models\GameEnigmas",293,e32b3654-1b59-4f08-b19b-163f77f5af3c,la-cuisine-de-mamie-citrouille,"visuel réponse ordi_Plan de travail 1",visuel-réponse-ordi_Plan-de-travail-1.png,image/png,media,media,126844,[],[],"{""thumb"":true}",[],1,"2025-07-21 14:28:33","2025-07-21 14:28:34"
4772,"App\Models\GameEnigmas",294,c0250e9a-8b8a-4f4e-870c-762159c20ad8,la-cuisine-de-mamie-citrouille,"visuel réponse ordi-02",visuel-réponse-ordi-02.png,image/png,media,media,101853,[],[],"{""thumb"":true}",[],1,"2025-07-21 14:28:34","2025-07-21 14:28:34"
4773,"App\Models\GameEnigmas",295,a9da9c9f-c5cb-4646-bc02-74e71897efd5,la-cuisine-de-mamie-citrouille,"visuel réponse ordi-03",visuel-réponse-ordi-03.png,image/png,media,media,112317,[],[],"{""thumb"":true}",[],1,"2025-07-21 14:28:34","2025-07-21 14:28:34"
4774,"App\Models\GameEnigmas",296,b1a79e6c-67c9-4560-980b-52827fd1b24a,la-cuisine-de-mamie-citrouille,"visuel réponse ordi-04",visuel-réponse-ordi-04.png,image/png,media,media,99954,[],[],"{""thumb"":true}",[],1,"2025-07-21 14:28:34","2025-07-21 14:28:34"
4775,"App\Models\GameEnigmas",297,f01aee04-6ee9-4396-a1bc-5e40a8c71fee,la-cuisine-de-mamie-citrouille,"visuel réponse ordi-05",visuel-réponse-ordi-05.png,image/png,media,media,126866,[],[],"{""thumb"":true}",[],1,"2025-07-21 14:28:34","2025-07-21 14:28:34"
4776,"App\Models\GameEnigmas",298,0334c68e-0d44-47a4-9d60-5defbbae4b0b,la-cuisine-de-mamie-citrouille,"visuel réponse ordi-06",visuel-réponse-ordi-06.png,image/png,media,media,107973,[],[],"{""thumb"":true}",[],1,"2025-07-21 14:28:34","2025-07-21 14:28:34"
4777,"App\Models\GameEnigmas",299,78a31718-5373-4ed5-b2c5-b1e3e93bd9f3,la-cuisine-de-mamie-citrouille,"visuel réponse ordi-07",visuel-réponse-ordi-07.png,image/png,media,media,130525,[],[],"{""thumb"":true}",[],1,"2025-07-21 14:28:34","2025-07-21 14:28:34"
4778,"App\Models\GameEnigmas",300,531011f7-03c9-4fb3-97d4-44ccfc05626f,la-cuisine-de-mamie-citrouille,"visuel réponse ordi-08",visuel-réponse-ordi-08.png,image/png,media,media,125674,[],[],"{""thumb"":true}",[],1,"2025-07-21 14:28:34","2025-07-21 14:28:35"
4779,"App\Models\GameEnigmas",301,400dcc63-264a-4e87-986e-dbe63344a368,la-cuisine-de-mamie-citrouille,"visuel réponse ordi-09",visuel-réponse-ordi-09.png,image/png,media,media,112010,[],[],"{""thumb"":true}",[],1,"2025-07-21 14:28:35","2025-07-21 14:28:35"
4780,"App\Models\GameEnigmas",302,dd195747-ae35-475e-aa7b-dfecb5df626a,la-cuisine-de-mamie-citrouille,"visuel réponse ordi-10",visuel-réponse-ordi-10.png,image/png,media,media,127025,[],[],"{""thumb"":true}",[],1,"2025-07-21 14:28:35","2025-07-21 14:28:35"
4781,"App\Models\GameEnigmas",303,d5e403e0-3729-4387-bd11-822a8246df92,la-cuisine-de-mamie-citrouille,"visuel réponse ordi-11",visuel-réponse-ordi-11.png,image/png,media,media,112248,[],[],"{""thumb"":true}",[],1,"2025-07-21 14:28:35","2025-07-21 14:28:35"
4782,"App\Models\GameEnigmas",304,d62737d3-6965-4523-a27f-e035386c0dfe,la-cuisine-de-mamie-citrouille,"visuel réponse ordi-12",visuel-réponse-ordi-12.png,image/png,media,media,106879,[],[],"{""thumb"":true}",[],1,"2025-07-21 14:28:35","2025-07-21 14:28:35"
4787,"App\Models\GameSounds",731,1d6be6fd-beb3-40c8-9ee1-70c2de24dabf,la-cuisine-de-mamie-citrouille,"Bonne réponse",Bonne-réponse.mp3,application/octet-stream,media,media,178768,[],[],[],[],1,"2025-07-21 14:31:20","2025-07-21 14:31:20"
4958,"App\Models\Game",230,68548dcd-ef14-43c8-a329-df3fc0865142,la-cuisine-de-mamie-citrouille,"fond ecran",fond-ecran.png,image/png,media,media,1861430,[],[],"{""thumb"":true}",[],36,"2025-09-08 15:50:13","2025-09-08 15:50:14"
4959,"App\Models\Game",230,8925ea87-15a5-4ff3-b5f1-80bb842dadaa,la-cuisine-de-mamie-citrouille,"fond ecran",fond-ecran.png,image/png,media,media,1861430,[],[],"{""thumb"":true}",[],37,"2025-09-08 15:50:14","2025-09-08 15:50:15"
